"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"hsa-let-7a-1",30753.1995247087,-0.356744261484106,0.0830524292350591,3.27329936044413e-06,5.62081708359094e-06
"hsa-let-7a-2",30700.6832764609,-0.360282570655393,0.0831823153925768,2.67077103369378e-06,4.6487823453373e-06
"hsa-let-7a-3",30920.4571705188,-0.359747953382641,0.0827139775748142,2.8482440814803e-06,4.94083156991481e-06
"hsa-let-7b",86246.4116786865,-0.369871708527449,0.112713839581812,0.000123760711636265,0.000187293658559333
"hsa-let-7c",11949.9559591913,-1.7756809276951,0.113228334154248,5.46927759499538e-57,1.39466578672382e-55
"hsa-let-7d",1661.8717391337,0.319020091792436,0.0702540220443597,5.32436338136375e-06,9.02134659300834e-06
"hsa-let-7e",3013.51549651646,0.193906566741061,0.0840862139360306,0.030364798500522,0.0371368039215018
"hsa-let-7f-1",9682.90322427374,-0.0682983732322435,0.10678762783791,0.328582261543184,0.353537876343932
"hsa-let-7f-2",9817.26396465488,-0.0561325428678967,0.107130735439374,0.377160625177759,0.401569767934566
"hsa-let-7g",1605.3500756842,0.149674130096678,0.0588319644883896,0.0108688470892846,0.0138577800388378
"hsa-let-7i",1678.91248218397,-0.296167085491088,0.0526547311097887,1.3208358868783e-08,2.69450520923174e-08
"hsa-mir-1-1",11.6136669603613,-7.30613429836278,0.173268447163996,9.04177789003967e-36,6.40459267211143e-35
"hsa-mir-1-2",12.4436221540993,-7.23670910471011,0.162876039945174,1.32416795685309e-36,9.7873283767402e-36
"hsa-mir-100",16195.6822572657,-1.73570778076332,0.12212042059863,6.28192816886422e-47,8.89939823922431e-46
"hsa-mir-101-1",15313.020670355,-0.290054541003676,0.0963663613631398,0.000698743642816682,0.000989886827323633
"hsa-mir-101-2",15372.2606630126,-0.300619971847472,0.0963694459641378,0.000478339867649571,0.000687192485919103
"hsa-mir-103a-1",21496.6948458122,0.410823501308687,0.0742571991271392,1.06909462942446e-06,1.9266369646872e-06
"hsa-mir-103a-2",21514.1641693001,0.412919242497163,0.0741862319212294,9.05018970946115e-07,1.65433575334236e-06
"hsa-mir-105-1",36.9075656739719,7.09503590456235,0.484878990051876,1.45346140871188e-39,1.27804365248803e-38
"hsa-mir-105-2",36.855191226416,7.09048907938861,0.51037631679332,2.54469402878972e-36,1.82787880941233e-35
"hsa-mir-106a",68.0029620622474,1.47515549002104,0.162615738727311,3.83349417162667e-20,1.48112274812849e-19
"hsa-mir-106b",1825.03008057351,0.863931592760002,0.0847158832440427,1.44877877348336e-24,6.48137872347818e-24
"hsa-mir-107",154.746689125093,0.613787851035354,0.0749799679940315,2.42168698233418e-16,7.7191272561902e-16
"hsa-mir-10a",88271.3966988246,-0.338732640048805,0.154491335925102,0.00012180764858234,0.000184886609455337
"hsa-mir-10b",362957.85096883,-2.18291438297098,0.112313663977437,4.12630153289964e-85,2.10441378177881e-83
"hsa-mir-1180",30.611192556981,0.693790444120648,0.168588959241452,3.08845715087772e-05,4.87651129085956e-05
"hsa-mir-1224",3.04002998522874,2.09260717821719,0.309907908621658,6.13466451770679e-10,1.39673165358503e-09
"hsa-mir-1226",4.46404889682738,1.01752703220341,0.166849010100848,7.55116367241093e-10,1.70402366058831e-09
"hsa-mir-1228",3.96422578582675,-0.579849269186265,0.1494162118561,9.7534215966411e-05,0.000149376727155765
"hsa-mir-1229",2.36476235808899,1.3562643277091,0.227336604305087,1.06646600827265e-09,2.3855160711362e-09
"hsa-mir-1245a",8.9102312423192,-0.11861333949005,0.132377555644421,0.365634358969417,0.390111972959002
"hsa-mir-1247",173.24973983989,-1.73922115974298,0.187290035425809,5.53677740122363e-21,2.25900517969924e-20
"hsa-mir-1248",5.69108849687263,1.04580144479707,0.186190931812494,1.329635799177e-05,2.18043169639959e-05
"hsa-mir-1249",7.95037940163847,-0.564035217607165,0.110816499216838,2.76925965567696e-07,5.26985979251958e-07
"hsa-mir-1251",2.22724818118796,2.27687436198264,0.515152955922057,1.37106959191955e-05,2.24117144833004e-05
"hsa-mir-1258",7.73371135195544,-2.25464326253429,0.178748992115538,4.31988659762785e-52,8.81256865916082e-51
"hsa-mir-125a",3158.40527938181,-0.555173014170488,0.0870511514803452,1.4061648581129e-10,3.33555384947712e-10
"hsa-mir-125b-1",1866.0413087654,-1.85321198718693,0.103040889147186,8.2209868805024e-73,2.79513553937082e-71
"hsa-mir-125b-2",1943.41097481047,-1.84382606316454,0.101961000126477,1.39563260783975e-73,5.47517407690977e-72
"hsa-mir-126",11948.153955181,-0.871019679261065,0.0982614140801302,1.7753580239659e-19,6.60899702352271e-19
"hsa-mir-1262",2.95623885537087,-1.2951119198099,0.172889072314018,2.26027725962059e-14,6.6249505885431e-14
"hsa-mir-1266",40.4920208071446,0.639688213487188,0.139272567582735,3.29024302399477e-06,5.63095282629978e-06
"hsa-mir-1269a",169.973577227744,7.20735745026194,0.462714760212188,9.88967563549776e-44,1.14630331229633e-42
"hsa-mir-1269b",15.2375058510243,7.53927562219345,0.68662174220224,2.3095513610946e-19,8.47389348315284e-19
"hsa-mir-127",3012.43639184434,-0.564620303266557,0.125902749372555,5.4050119816508e-06,9.12766924053613e-06
"hsa-mir-1270",6.96254533584313,0.828848322447222,0.180937206679952,3.07075813791339e-06,5.30876830622315e-06
"hsa-mir-1271",12.8486297083701,-0.582786176870608,0.100886517848263,6.28127837301513e-09,1.31289015173677e-08
"hsa-mir-1277",3.45977496213485,2.06354162983111,0.193803212923799,2.74525878341247e-27,1.42865508116363e-26
"hsa-mir-128-1",222.274230229378,0.843741372722688,0.09398053413353,1.81716908258401e-19,6.71562487041916e-19
"hsa-mir-128-2",147.234810134516,1.04416488575287,0.101247740639128,5.45884571078362e-25,2.4857243861604e-24
"hsa-mir-1283-2",0.887679009534872,4.62368772512533,0.881002688650115,0.00019079874279497,0.000280424665202981
"hsa-mir-1287",125.279812122802,0.145587244492593,0.0969818600051015,0.131830181369167,0.152111747733654
"hsa-mir-1288",1.78710947364533,0.878275422722938,0.190479874870704,2.29578027278761e-06,4.02353243684426e-06
"hsa-mir-129-1",7.94381188275548,0.609251442615245,0.234622540943187,0.222285699381557,0.248065003686202
"hsa-mir-129-2",10.0993153416031,0.507256632214567,0.236059697875263,0.36454509577377,0.389765196739251
"hsa-mir-1291",2.41250794718204,0.253024106257557,0.186044948671617,0.162409227482409,0.185714587479885
"hsa-mir-1292",1.30514689728082,1.39683948873462,0.218063463901068,2.79741270690236e-11,6.89217623439712e-11
"hsa-mir-1295a",4.9996015231186,-0.928218584594058,0.187838557131192,5.53355081870442e-07,1.01881260560984e-06
"hsa-mir-1296",23.0734897909411,-0.386299882143551,0.104535207118071,0.000203396884229085,0.000298081640680556
"hsa-mir-1301",43.0127535358605,2.11374418927447,0.106321568286041,1.04887496586455e-88,5.94362480656581e-87
"hsa-mir-1304",3.69853694046695,1.3788770997417,0.3465847526843,8.60171458562619e-05,0.000132134772249077
"hsa-mir-1306",32.696406392022,0.658987224328176,0.110279332580293,1.87571863777908e-09,4.10565023719885e-09
"hsa-mir-1307",3475.95807411398,1.28188128243671,0.0973773817495652,1.37158481633862e-39,1.22720746725034e-38
"hsa-mir-130a",293.101423849997,-0.587624614079556,0.102033888256906,7.11254654877584e-09,1.4745523332828e-08
"hsa-mir-130b",77.379693350781,1.95347812861095,0.108559107215205,3.32119657078575e-73,1.20986446507195e-71
"hsa-mir-132",232.309498088534,-0.366877953750156,0.097415982141879,0.000151099347923345,0.000226649021885018
"hsa-mir-133a-1",9.75353452569874,-7.50300034737588,0.192502379556036,8.34273120253044e-38,6.54583525121619e-37
"hsa-mir-133a-2",9.2388950334917,-7.45826108648415,0.195155483902418,4.31449920874006e-32,2.65107782705715e-31
"hsa-mir-133b",1.77210624603493,-7.35924475723974,0.253511521145817,1.20491800723669e-14,3.61475402171006e-14
"hsa-mir-134",1384.86999257733,-0.675222021971075,0.120120351307215,1.38514469263098e-08,2.81443742327411e-08
"hsa-mir-1343",3.23278706998665,0.10800548294159,0.173838292250476,0.530304789721945,0.550825748998354
